data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20190702,81012.0,75742.0,5164579.0,2020-1-19 7:02
20190703,90961.0,85213.0,5190050.0,2020-1-19 7:08
20190704,89259.0,83418.0,5214194.0,2020-1-19 7:12
20190705,81915.0,76714.0,5243206.0,2020-1-19 7:17
20190706,59488.0,55766.0,5256255.0,2020-1-19 7:20
20190707,50069.0,46543.0,5267205.0,2020-1-19 7:24
20190708,68252.0,63941.0,5289040.0,2020-1-19 7:28
20190709,68404.0,63865.0,5309711.0,2020-1-19 7:31
20190710,65791.0,61493.0,5332554.0,2020-1-19 7:35
20190711,64985.0,60740.0,5355422.0,2020-1-19 7:39
20190712,66060.0,61956.0,5381208.0,2020-1-19 7:43
20190713,43468.0,40253.0,5391897.0,2020-1-19 7:46
20190714,42048.0,39011.0,5400796.0,2020-1-19 7:50
20190715,64525.0,60502.0,5423794.0,2020-1-19 7:54
20190716,63645.0,59680.0,5445836.0,2020-1-19 7:58
20190717,67751.0,63889.0,5469023.0,2020-1-19 8:01
20190718,68121.0,64174.0,5492885.0,2020-1-19 8:06
20190719,65490.0,61156.0,5515859.0,2020-1-19 8:10
20190720,54069.0,50539.0,5529974.0,2020-1-19 8:14
20190721,56695.0,53158.0,5545206.0,2020-1-19 8:18
20190722,76840.0,72193.0,5570494.0,2020-1-19 8:22
20190723,81446.0,76458.0,5598367.0,2020-1-19 8:25
20190724,91753.0,86690.0,5627083.0,2020-1-19 8:30
20190725,95554.0,90241.0,5655478.0,2020-1-19 8:34
20190726,93191.0,87695.0,5682397.0,2020-1-19 8:37
20190727,72812.0,68429.0,5697521.0,2020-1-19 8:41
20190728,70370.0,66068.0,5712063.0,2020-1-19 8:45
20190729,96698.0,91308.0,5739000.0,2020-1-19 8:49
20190730,91147.0,85823.0,5760927.0,2020-1-19 8:53
20190731,97996.0,92479.0,5808411.0,2020-1-19 8:57
20190801,94380.0,88532.0,5830531.0,2020-1-19 9:01
20190802,110171.0,103736.0,5855331.0,2020-1-19 9:05
20190803,108488.0,102367.0,5870566.0,2020-1-19 9:11
20190804,98803.0,92937.0,5883268.0,2020-1-19 9:16
20190805,118171.0,111314.0,5909799.0,2020-1-19 9:20
20190806,111417.0,105032.0,5936614.0,2020-1-19 9:25
20190807,90236.0,84494.0,5959142.0,2020-1-19 9:28
20190808,85803.0,80351.0,5980534.0,2020-1-19 9:32
20190809,75797.0,70885.0,5993230.0,2020-1-19 9:37
20190810,86725.0,60546.0,6071204.0,2020-1-19 9:42
20190811,86315.0,59430.0,6081046.0,2020-1-19 9:46
20190812,115654.0,81972.0,6100476.0,2020-1-19 9:51
20190813,104367.0,72096.0,6118384.0,2020-1-19 9:57
20190814,105093.0,72764.0,6135466.0,2020-1-19 10:12
20190815,106364.0,73648.0,6154404.0,2020-1-19 10:18
20190816,102114.0,71148.0,6172824.0,2020-1-19 10:23
20190817,79327.0,53990.0,6181876.0,2020-1-19 10:26
20190818,78265.0,53340.0,6191070.0,2020-1-19 10:30
20190819,106323.0,74414.0,6211722.0,2020-1-19 10:34
20190820,107846.0,75842.0,6233442.0,2020-1-19 10:39
20190821,99705.0,69244.0,6251900.0,2020-1-19 10:42
20190822,102705.0,71316.0,6273898.0,2020-1-19 10:46
20190823,78430.0,73332.0,6285692.0,2020-1-19 10:51
20190824,59149.0,55058.0,6291796.0,2020-1-19 10:55
20190825,55473.0,51502.0,6297602.0,2020-1-19 11:00
20190826,71182.0,64816.0,6310826.0,2020-1-19 11:03
20190827,88784.0,76708.0,6325336.0,2020-1-19 11:09
20190828,99299.0,69712.0,6347454.0,2020-1-19 11:14
20190829,92593.0,64712.0,6370458.0,2020-1-19 11:18
20190830,85492.0,58492.0,6391750.0,2020-1-19 11:22
20190831,67761.0,45200.0,6403766.0,2020-1-19 11:27
20190901,77016.0,51934.0,6410154.0,2020-1-19 11:31
20190902,122005.0,85722.0,6426176.0,2020-1-19 11:35
20190903,135786.0,99088.0,6447614.0,2020-1-19 11:40
20190904,153828.0,106196.0,6478474.0,2020-1-19 11:44
20190905,142961.0,101374.0,6503338.0,2020-1-19 11:48
20190906,107116.0,73192.0,6523276.0,2020-1-19 11:52
20190907,90561.0,60984.0,6534904.0,2020-1-19 11:56
20190908,79641.0,52520.0,6544876.0,2020-1-19 12:00
20190909,113042.0,74552.0,6570972.0,2020-1-19 12:04
20190910,122751.0,81488.0,6601428.0,2020-1-19 12:10
20190911,127970.0,82998.0,6636886.0,2020-1-19 12:15
20190912,136269.0,87190.0,6675682.0,2020-1-19 12:19
20190913,92447.0,59840.0,6691654.0,2020-1-19 12:23
20190914,87186.0,55882.0,6703906.0,2020-1-19 12:27
20190915,84884.0,54708.0,6714880.0,2020-1-19 12:32
20190916,133497.0,86242.0,6752548.0,2020-1-19 12:35
20190917,135098.0,83544.0,6794436.0,2020-1-19 12:40
20190918,142864.0,89488.0,6847744.0,2020-1-19 12:45
20190919,154813.0,94026.0,6920716.0,2020-1-19 12:49
20190920,176065.0,102436.0,7009488.0,2020-1-19 12:53
20190921,134939.0,80406.0,7064936.0,2020-1-19 12:57
20190922,138490.0,81000.0,7123068.0,2020-1-19 13:02
20190923,212082.0,111358.0,7241834.0,2020-1-19 13:07
20190924,248066.0,100704.0,7403634.0,2020-1-19 13:12
20190925,283153.0,83384.0,7624086.0,2020-1-19 13:17
20190926,294560.0,79370.0,7867528.0,2020-1-19 13:21
20190927,293937.0,75636.0,8120048.0,2020-1-19 13:25
20190928,231891.0,97700.0,8302162.0,2020-1-19 13:29
20190929,261414.0,86642.0,8493452.0,2020-1-19 13:33
20190930,201637.0,105404.0,8555402.0,2020-1-19 13:37
20191001,137670.0,80356.0,8588610.0,2020-1-19 13:41
20191002,137657.0,85024.0,8604144.0,2020-1-19 13:45
20191003,136613.0,85260.0,8616624.0,2020-1-19 13:49
20191004,141596.0,89570.0,8628122.0,2020-1-19 13:52
20191005,144721.0,92464.0,8639702.0,2020-1-19 13:56
20191006,141925.0,91178.0,8651488.0,2020-1-19 14:00
